,Body,Label
707,empty,1
1948,"John P. Looney stated the following on Thu, Aug 29, 2002 at 03:31:11PM +0100 :
>  I'm not sure what exactly is wrong with this, but I can't get a redhat
> 7.1 box to use ttyS0 as a console.
> 
>  The relevant bits of /boot/grub/grub.conf are:
> 
> serial --unit=0 --speed=115200
> terminal --timeout=2 console serial
> title=linux
>    root (hd0,4)
>    kernel /boot/bzImage ro root=/dev/md0 console=ttyS0,115200n81
															     ^
That 1 is unneeded and is probably whats upsetting your kernelwe use ""console=ttyS0,9600n8"" but the 9600 is mainly cos we are a cisco
shop and its to keepo everyhting the same.Colin
-- 
""Design"" is like a religion - too much of it makes you inflexibly and unpopular.
		Linus Torvalds-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",0
2289,"    Date:        Fri, 23 Aug 2002 10:58:20 -0500
    From:        Chris Garrigues 
    Message-ID:  <1030118301.3993.TMDA@deepeddy.vircio.com>  | Interesting...I don't think this was my bug.
  | It appears that Msg_Change was asked to change to message ""-"".Something like that is quite possible, but perviously typing nonsense
in didn't cause tracebacks, and now it does, and the traceback came
from the sequence code...Perviously this would have just caused red messages in the status
line complaining about my lousy typing.   That's probably what it
should keep on doing (the ""red"" part isn't important obviously..)kre_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers",0
4723,"Hi all,
I've run into a fairly intractable (for me) problem, and was wondering
if anybody could give me pointers on how to deal with it.I am running Debian Woody on a Pentium III IDE based system.
I have a Ricoh 7083a ide cd rewriter, which I use using cdrecord and the
scsi over ide kernel modules.  I was running kernel 2.4.18 until
probably last weekend when I noticed 2.4.19 was out.  Downloaded patch
and installed new kernel with no real problems.  This morning I went to
burn a CDROM, and the system locked hard.  Rebooting into 2.4.18 allowed
cdburning to work fine.This problem is very reproducible (on my system at least).
the cdrecord command I was using was
    cdrecord -v speed=4 blank=fast dev=0,1,0 -data bak.iso
The blanking appears to go ok, but when it tries to write data, it just
locks up the entire system (can't ping it from outside even).  AFAICS,
the system just stops.  Hard reset is only way back in, and when it does
reboot, I cannot see anything useful in any logfiles (/var/log/messages
/var/log/kern.log /var/log/syslog, at any rate).
cdrecord -scanbus works fine and reports the two pseudo-scsi devices (my
cdr drive and my cdrw).
The same lock occurs even if there is no blanking.I tried upgrading to 2.4.20-pre1-ac1 (on assumption that if there was a
kernel issue it might have been fixed in these patches), but it gives
the same error.  I also downloaded and compiled the source for
cdrecord 1.1.10, and installed it instead of the debian package (i was
wondering if maybe there was some compile option the packager had used
which maybe would cause the problem), and still the problem persisted.Anyway, I'm completely stumped.  Google searching has not done me much
good, and I'm a little bit lost.  What I'd like to know is
a)  How to fix the problem ;-)
b)  Is this likely to be an application or kernel problem?  The severity
    of the crash would make me suspect it is a kernel problem, but I'm
    not very knowledgeable on these things.
c)  Should I post a description of this to the kernel mailing list? If
    this is an appropriate course of action, are there any tips (beyond
    the guidelines on kernel.org)?Like I said, I'm lost on this one, so any info is very gratefully
received.
mick
-- 
Michael Conry   Ph.:+353-1-7161987, Web: http://www.acronymchile.com
Key fingerprint = 5508 B563 6791 5C84 A947  CB01 997B 3598 09DE 502C-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie
",0
5060,"Key concepts:  Nakamichi Yamasaki, hydrocarbon
generation, carbon dioxide, industrial chemistryAttention Conservation Notice: Yet another
weird Nipponese scheme, about some miracle
gizmo that runs on pollutionLinks:Tornados in Britain?  Maybe it really is the 51st State.
http://www.thesun.co.uk/article/0,,2-2002362050,00.htmlNewfangled suntan pill alleged to have peculiar side-
effects.
http://timesofindia.indiatimes.com/articleshow.asp?art_id=18672487See all those really bright places? Well, that's
where the Greenhouse comes from.
http://www3.cosmiverse.com/news/earthobservatory/0802/images/land_ocean_ice_lights_080602_1bi
g.jpg The West Nile plague has reached Austin.
http://www.planetark.org/dailynewsstory.cfm/newsid/17239/story.htm---------------------------------------------------
Entries in the Global Civil Society Design Contest.From: Steven W. Schuldt 
http://www.americanrobotz.com/images2/Soon_GlobalCivilSocietyLaptop.jpgFrom: Ben Davis 
http://www.digitaleverything.com/GlobalComputer.htmFrom: Joerg F. Wittenberger 
http://www.askemos.org/ 
http://www.askemos.org:9080/RomePaper.pdfFrom: Scott Vandehey 
http://spaceninja.com/viridian/notebook.htmlFrom: Bob Morris 
http://viridianrepository.com/GlobalCivil/From: Anonymous
http://home.freiepresse.de/befis/zx2000.html
http://apollo.spaceports.com/~bodo4all/zx/zx97.htm
http://www.vkb.co.il/From: Jim Thompson 
http://www.simputer.org
http://www.cnn.com/2002/TECH/ptech/07/05/india.simputer.reut/index.htmlFrom: Mike Rosing 
http://www.eskimo.com/~eresrch/viridianFrom: Till Westermayer 
http://www.westermayer.de/till/projekte/02gcsdl.htmFrom:ï¿½Duncan Stewart 
http://www.stewarts.org/viridian/GCSFrom: R. Charles Flickinger 
http://homepage.mac.com/iHUG/GCS2000.htmlFrom: Kevin Prichard 
http://www.nah6.com/
http://www.nah6.com/nah6-h2k2_files/v3_document.htmlFrom: Dave Phelan <dphelan*pavilion.co.uk""Please find my entry here:""
http://www.btinternet.com/~dphelan/viridian/gcs-computer.html""I'm no graphic artist == the feature list is the 
important part of the design.""dphelan*pavilion.co.uk  Blog: 
http://www.btinternet.com/~dphelanThis contest expires in four days:   August 15, 2002. 
----------------------------------------------------
Source:
http://www.newscientist.com/news/news.jsp?id=ns99992620""Carbon dioxide turned into hydrocarbon fuel 
(((Please, no immediate lectures on the second law of 
thermodynamics. I have plenty of those.)))""16:00ï¿½02ï¿½Augustï¿½02""A way to turn carbon dioxide into hydrocarbons has caused 
a big stir at an industrial chemistry conference in New 
Brunwick, New Jersey. Nakamichi Yamasaki of the Tokushima 
Industrial Technology Center in Japan says he has a 
process that makes propane and butane at relatively low 
temperatures and pressures.""Link: Yes, he actually exists:
http://www.it.sakura.ne.jp/~koatsu/c_journal/ab/1_10/01-2.html
http://www.itc.pref.tokushima.jp/English/eindex.html""Making fuel from greenhouse gases""While his work still needs independent verification,  
(((okay, go fetch us some, then))) if he can make even 
heavier hydrocarbons, it might be possible to make petrol. 
It has carbon chains that are between five and 12 atoms 
long == butane is four atoms long.  (((""That's right, 
Professor: I just hook it up to the sky and I make 
gasoline!"")))   ""The work suggests the tantalising prospect that CO2, 
the main greenhouse gas, could be recycled instead of 
being pumped into the atmosphere.    ""Many people have tried before to make hydrocarbons by 
mixing carbon with hydrogen gas in a reaction chamber at 
very high temperatures, but yields have always been 
pitiful. Yamasaki has used hydrochloric acid as his source 
of hydrogen ions. (((""But where are we s'posed to get all 
that hydrochloric acid?"" Yes, I know, I know.)))    ""He bubbles the CO2 into a reaction vessel where it is 
heated to about 300 C at 100 times atmospheric pressure. 
The heat and pressure are low enough, says Yamasaki, to 
make it feasible to scale up the reaction so it can run on 
a power station's waste heat. (((Imagine the fun when a 
giant tank of pressurized acid blows up.)))""Iron powder    ""Using iron powder as a catalyst, Yamasaki says he has 
made substantial amounts of methane, ethane, propane and 
butane, which he was able to vent off as gases when the 
mixture cooled. If he can improve the catalyst's 
performance he is hopeful of making heavier hydrocarbons 
such as petrol, too.     ""William Siegfried, who has lead similar experiments 
at the University of Minnesota in the twin cities of 
Minneapolis and St Paul, says his group was only able to 
make methane at far higher temperatures. But his process 
also used a nickel-based alloy as a catalyst, rather than 
iron.    ""Siegfried's group was investigating whether natural 
methane deposits might have formed chemically with the 
metal in rocks acting as a catalyst rather than forming 
from the decay of rotting biological material over aeons.  
(((Paging Thomas Gold! ""Deep Hot Biosphere"" calling on 
line one.)))   ""Unless Yamasaki's technology can make the more 
valuable heavier hydrocarbons such as petroleum, which are 
liquid at room temperature, it will not be much more use 
than present-day bioreactors, in which bacteria that like 
to feed on CO2 are induced to produce methane. 'Organisms 
have a special talent for that kind of reaction,' says 
Siegfried.O=c=O O=c=O O=c=O O=c=O
FED-EX IS HERE WITH
YOUR WORLD-SAVING
MIRACLE GIZMO
O=c=O O=c=O O=c=O O=c=O
",0
5117,empty,0
5861,"Today's Headlines from The Register
-----------------------------------    To unsubscribe from this daily news update, see the instructions at
    the end of this message.
  --------ADVERTISEMENT------------------------------------------------  WIN tickets to a FORMULA ONE EUROPEAN GRAND PRIX!  Neverfail Group plc, business continuity software expert, sponsors Rubens
  Barrichello driver of the Ferrari F1 team. Click here to find out more and
  win tickets: www.neverfailgroup.com/f1theregister.html.  For every new customer that buys Neverfail(tm) products between the
  July-September 2002 Grand Prix season, Neverfail Group plc will grant 2
  tickets to a Grand Prix hospitality event with us next 2003 season.  ---------------------------------------------------------------------
Software    Ogg Vorbis goes gold
    Sounds good
        http://www.theregister.co.uk/content/4/26176.html    Norwegian gov ditches contract with Microsoft
    'Unfortunate deal,' says minister
        http://www.theregister.co.uk/content/4/26172.html    MS to use PEAP for home wireless security?
    It's tagged as a possible for a 'future XP client'
        http://www.theregister.co.uk/content/4/26170.htmlEnterprise Systems    EMC And Accenture - The Switzerland of Storage
    Vendor independent consulting
        http://www.theregister.co.uk/content/53/26163.html    IBM sell first Regatta-H iSeries monster server
    Customer wants four - didn't TJ Watson say something about that once?
        http://www.theregister.co.uk/content/53/26161.html    Nanotechnology may be over-hyped 
    Small-minded nonsense
        http://www.theregister.co.uk/content/53/26150.htmlPersonal Hardware    Sharp Linux handheld in double bug alert
    Zoinks!
        http://www.theregister.co.uk/content/54/26168.htmlInternet    RedHotAnt boss jailed for 5 years 
    Worldcom, Level 3 stung in ISP collapse
        http://www.theregister.co.uk/content/6/26175.html    Three domain name scams
    Bogus renewals, bogus directories
        http://www.theregister.co.uk/content/6/26167.html    KPNQwest heads for final shutdown
    Good bits sold, customers gone, goodnight then
        http://www.theregister.co.uk/content/6/26160.htmlNet Security    Linux attacks on the rise?
    Anecdotage
        http://www.theregister.co.uk/content/55/26177.html    Sharp Linux handheld in double bug alert
    Zoinks!
        http://www.theregister.co.uk/content/55/26168.html    USA Today swats hack attack - but not entirely
    Er, you missed a bit...
        http://www.theregister.co.uk/content/55/26157.htmlBusiness    EU recycling rules to hit PC makers 
    Rubbish
        http://www.theregister.co.uk/content/7/26173.html    Fujitsu plans cuts, predicts two more years to recovery
    CFO paints gloomy picture
        http://www.theregister.co.uk/content/7/26159.html    Dell ups Q2 forecasts
    Different planet, obviously...
        http://www.theregister.co.uk/content/7/26158.htmlNetworks    One in ten workers squeezed out at Juniper
    Financial results are healthier, though
        http://www.theregister.co.uk/content/5/26164.htmlBroadband    UK broadband take-up doubles
    Ooooooooooh!
        http://www.theregister.co.uk/content/22/26171.html    BTo in business broadband promo 
    Strings attached naturally
        http://www.theregister.co.uk/content/22/26169.htmlBOFH: Whole Shebang    BOFH and the God of Workplace Harmony
    Episode 14 Sacrifices must be made
        http://www.theregister.co.uk/content/30/25955.htmlSite News    Cash'n'Carrion down for stocktake
    Back on Monday, proceeded by fanfare of trumpets
        http://www.theregister.co.uk/content/31/26178.html    Calling all Reg Hackerettes
    Vulture Central seeks guidance on sizeable problem
        http://www.theregister.co.uk/content/31/26174.html    Get your Reg logos here
    Full set of gif images for your viewing pleasure
        http://www.theregister.co.uk/content/31/26166.html    Last call for Star Wars console competition
    Closes Monday, so get your skates on
        http://www.theregister.co.uk/content/31/26162.html
  --------ADVERTISEMENT------------------------------------------------  WIN tickets to a FORMULA ONE EUROPEAN GRAND PRIX!  Neverfail Group plc, business continuity software expert, sponsors Rubens
  Barrichello driver of the Ferrari F1 team. Click here to find out more and
  win tickets: www.neverfailgroup.com/f1theregister.html.  For every new customer that buys Neverfail(tm) products between the
  July-September 2002 Grand Prix season, Neverfail Group plc will grant 2
  tickets to a Grand Prix hospitality event with us next 2003 season.  ---------------------------------------------------------------------
The Register and its contents are copyright 2002 Situation Publishing.
All rights reserved.    Tel:     +44 (0)20 7499 2264.
    Fax:     +44 (0)20 7493 5922.
    E-Mail:  press.releases@theregister.co.ukTo unsubscribe from these daily updates, visit the following URL.  Make
sure that you enter exactly the same e-mail address as you used to join
this service.    http://list.theregister.co.uk/cgi-bin/unsub.cgi
",0
3321,"HiI've just installed SpamAssassin and relevant modules.
Just tried the initial test: spamassassin -t < sample-nonspam.txt > nonspam.outand got back:Broken PipeI've also tried using the -P and --pipe option but to
no avail.Any help greatly appreciated. BTW - I'm no great Perl
expert!rgdsPeter__________________________________________________
Do You Yahoo!?
Everything you'll ever need on one web page
from News and Sport to Email and Music Charts
http://uk.my.yahoo.com
-------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone?  Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk",0
930,"Low-Cost Term-Life Insurance!
SAVE up to 70% or more on your term life insurance policy now.
      
Male age 40 - $250,000 - 10 year level term - as low as $11 per month.
      
CLICK HERE NOW For your FREE Quote!
http://hey11.heyyy.com/insurance/
      
If you haven't taken the time to think about what you are paying for life insurance...now is the time!!!
      
We offer the lowest rates available from nationally recognized carriers.
      
Act now and pay less!
CLICK HERE 
http://hey11.heyyy.com/insurance/
      
      
      
++++++++++++++++++++++++++++
Simple Removal instructions:
To be removed from our in-house list simply visit
http://hey11.heyyy.com/removal/remove.htm
Enter your email addresses to unsubscribe.",1
4268,"URL: http://www.newsisfree.com/click/-2,8655712,215/
Date: 2002-10-08T03:30:54+01:00*Medicine and health: *The discovery of the myriad little deaths which lead to 
life brought the most coveted prize in world medicine to two Britons and an 
American yesterday.
",0
5572,empty,0
3683,"use Perl Daily NewsletterIn this issue:
    * ""Perl 6: Right Here, Right Now"" slides ava+--------------------------------------------------------------------+
| ""Perl 6: Right Here, Right Now"" slides ava                         |
|   posted by gnat on Friday September 13, @12:01 (news)             |
|   http://use.perl.org/article.pl?sid=02/09/13/162209               |
+--------------------------------------------------------------------+[0]gnat writes ""The wonderful Leon Brocard has released the slides from
his lightning talk to the London perlmongers, [1]Perl 6: Right Here,
Right Now, showing the current perl6 compiler in action.""Discuss this story at:
    http://use.perl.org/comments.pl?sid=02/09/13/162209Links:
    0. mailto:gnat@oreilly.com
    1. http://astray.com/perl6_now/Copyright 1997-2002 pudge.  All rights reserved.
======================================================================You have received this message because you subscribed to it
on use Perl.  To stop receiving this and other
messages from use Perl, or to add more messages
or change your preferences, please go to your user page.	http://use.perl.org/my/messages/You can log in and change your preferences from there.
",0
2806,"They are legally required to do that.  I got a similar check because an
insurance company didn't pay a claim quickly enough.  It might have been
$.02.Although they spent lots more than $.33 to mail you the check, the
alternative seems to be to keep the money.  Do you really want companies
to have a financial incentive to over-bill you 'just a bit' so they
could keep it?  For a company with millions of customers, $.33/customer
starts adding up.
> From: fork-admin@xent.com [mailto:fork-admin@xent.com] On Behalf Of
> bitbitch@magnesium.net> So I get a check from Pac Bell today (SBC as they're called now).
> Turns out, they went to the trouble of printing out, signing, sealing
> and stamping a check just to refund me for a whole $0.33.
> 
> They easily spent more than this just getting the materials together.
> Why the hell do companies bother to do this crap?  I mean, isn't there
> a bottom line in terms of cost effectiveness?  I don't think I missed
> the .33, but I sure as hell would have appreciated lower rates in lieu
> of being returned pennies.
> 
> I'm truly stuck on this though.  I don't know whether to frame the
> check, burn it, or cash it in.  Maybe I should find a way to return to
> sender, so they have to spend -more- money on giving me my .33 dues.
> 
> 
> Does .33 even buy anything anymore?  Funny bit of it, is I couldn't
> even make a phone call these days.
> 
> *boggled*
> BB.
> 
> --
> Best regards,
>  bitbitch                          mailto:bitbitch@magnesium.net",0
709,"
The Soft2Reg Team.Black11 {FONT-SIZE: 11px; COLOR: black; FONT-FAMILY: Verdana;  FONT-WEIGHT: normal; TEXT-DECORATION: none}
.Red13 {font-size : 13px; font-family :Verdana, Arial, Helvetica, sans-serif;font-weight : bold;color : Red}Soft2reg.com -- Service Update			Hello,
We apologize for the unsolicited e-mail, 
				but we have noticed that you are using an online credit card processor on your web 
				site that charges you much more than what you should be paying. 			
				We are Soft2Reg.com and we specialize in low cost online credit 
				card processing for developers of electronic products. 
				Our rates are the lowest in the industry - 8% flat fee for all online credit card transactions. 
				We provide you with a link for every one of your products that contains your logo and you put it on your web site for seamless credit card processing integration. For that simple, yet efficient service we charge only 8% of your online sales.
 			
			
			If you would like to see more information about us, please visit http://www.soft2reg.com.
			Thank you,
			The Soft2Reg Team
			-----------------------------------
			www.soft2reg.com.
",1
2204,"On 26 Aug 2002, RossO wrote:--]Does anyone here know if the Computational Recreations columns from
--]Scientific American in the 70's/80's were compiled into a book or two? I
--]think I remember Martin Gardner publishing the earlier Mathematical
--]Recreations in a couple of hard covers, but I'm unsure about the later
--]column. Help?
--]Not sure about MG, though I know pretty much everything he penned got into
print at one time or another.  SA needs to do what National Geo did and
put out thier back issues on CD.Post MG in the 80's there were the colums by A K Dewdney that I dug a
bunch put into a book  called Turing Omnibus and then there is , of
course, all the goodens put out by Dougy Hoffstadler.http://xent.com/mailman/listinfo/fork",0
4035,"URL: http://www.newsisfree.com/click/-2,8418832,215/
Date: 2002-10-01T04:33:52+01:00*Society:* Nurses and ancillary staff at a PFI hospital are set to win a legal 
battle over equal pay that will cost the hospital ï¿½97m in back pay and add ï¿½13m 
to its annual wage bill.
",0
1469,"
creditfixThank You,Your email address was obtained from a purchased 
list, Reference # 1320-15001.Â Â If you wish to unsubscribe from this list, please 
Click here and enter your 
name into the remove box. If you have previously 
unsubscribed and are still receiving this message, you may email our 
Abuse Control Center, 
or call 1-888-763-2497, or write us at: NoSpam, 6484 Coral Way, 
Miami, FL, 33155"".
Â© 2002 Web Credit Inc. All Rights Reserved.
",1
4942,"
This is a stable beta release.  Please to upgrade.http://prdownloads.sourceforge.net/razor/razor-agents-2.14.tar.gz?downloadI've listed below all changes since the last major release, 2.12.
These are also in the Changes file included with the tar.gz.-chad
2.14 (July 25, 2002)
   Â·   Added Digest::Nilsimsa and URI::Escape to Make-
       file.PL's prerequisites.  [vipul]   Â·   Fixed rare bug in report.  Thanks goes to ""Alan A.""
        for this and much more help.  [chad]2.126 (July 24, 2002)
   Â·   Improved logic again for detecting spam.  [chad,
       vipul]   Â·   Run-time warnings are disabled unless in debug mode.
       [chad]2.125 (July 18, 2002)
   Â·   Improved logic for detecting spam, now we only look at
       visible and/or significant mime parts.  [chad, vipul]   Â·   Mime parts cleaned to only whitespace are now ignored
       on the client side, that is, they are not checked
       against server [chad]   Â·   Fixed bug in report (err 202) [chad]   Â·   Quieted more warnings [chad]2.123 (July 17, 2002)
   Â·   Fixed bug in revoke/report [chad]   Â·   Whitelist now looks at all 'Received:' headers for
       matching [chad]   Â·   Added debuglevel, whitelist cmd-line options [chad]   Â·   Quieted more warnings [chad]2.122 (July 15, 2002)
   Â·   Renamed razor-register razor-admin. To register, you
       must 'razor-admin -register' [chad]   Â·   Cleanded up how we store mail parts.  Each mail object
       now has a part object that stores info relevant to
       that part.  [chad]   Â·   Fixed parse_mbox (reading mbox and rfc822 mails)
       [chad]   Â·   Backup any existing identity files before writing over
       them (with new identity) [chad]   Â·   Added lock file support, so only one process writes to
       servers.*.lst at a time [chad]   Â·   Added rediscover_wait_dns [chad]   Â·   Fixed a bug when we rediscover, we save info to list
       correctly but when using it we skip the first server
       [chad]
   Â·   Fixed whitelist so rule 'from xx' only matches 'From:
       .*xx' not 'From .*xx' (Note the ':') [chad]   Â·   Made exit codes cleaner [chad]
        0 or 1       => no error
        2 or greater => error   Â·   Fixed error msg/exit code after disconnect [chad]   Â·   Added -w to razor binaries [chad]   Â·   If authen fails 'cuz unknown user (213), attempt re-
       register [chad]   Â·   Quieted a bunch of warnings [chad]
-------------------------------------------------------
This sf.net email is sponsored by: Jabber - The world's fastest growing 
real-time communications platform! Don't just IM. Build it in! 
http://www.jabber.com/osdn/xim
_______________________________________________
Razor-users mailing list
Razor-users@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/razor-users
",0
2482,"On Mon, 16 Sep 2002, Stephen D. Williams wrote:> It's efficient-end, not low end.  At 1Million hour MTBF, 133MB/sec,
> and pretty good buffering and speed, the only thing going for SCSI is
> 15,000 RPM vs. 7200 and in a very small number of cases, slightly
> better scatter-gather.  (Actually, I think there might be a 15,000 RPM
> IDE now.)It's not just krpm, the desktop HDs have a higher failure rate. But I
agree, EIDE has high density, and EIDE hardware RAID can offer SCSI a
sound beating for reliability, performance, and storage density/rack units
for the money, if designed for it, and if people would actually start 
buying it.
 
> The other issues are pretty much non-issues: using multiple drives and
> controller contention (just use many IDE channels with extra PCI
> cards, up to 10 in some systems), and long cable runs (just splitThere are not all that many hard drives inside an 1U enclosure. Airflow
blockage (you have to fit in 2-3x the number of SCSI disks with EIDE) will
soon be a thing of the past due to SATA.> storage between nodes).  Dual-port SCSI is also a non-issue since it
> is very expensive, doesn't work that well in practice because there
> are numerous secondary failure modes for shared disk systems, and
> because you still end up with a single point of failure.Since rack-space costs dominate, and our systems need more or less decent
I/O we're going with 1U Dells with SCSI. The hard drive prices don't
really make a visible difference, given the cost of the iron, and the
rackspace/month. Plus, 1U Dells don't have any space left for lots of EIDE
drives.
",0
4402,empty,0
2529,"less obscure haiku buy a puppy, ro!
they are chick magnets. master
ventriloquism.gg-----Original Message-----
From: fork-admin@xent.com [mailto:fork-admin@xent.com]On Behalf Of Tom
Sent: Wednesday, September 18, 2002 7:13 PM
To: R. A. Hettinga
Cc: fork@spamassassin.taint.org
Subject: Re: AA Meetings the Hottest Place to Meet Women With Big Bucks
On Wed, 18 Sep 2002, R. A. Hettinga wrote:
--]AA Meetings the Hottest Place to Meet Women With Big BucksAnd, as always, you can take a page out of Fight Club and start showing up
at all sorts of support groups. Look what it did for Marla and Jack...""JACK You can't have *both* parasites. You take blood parasites and --
MARLA I want brain parasites.
She opens another dryer and does the same thing again. PG 19
JACK Okay. I'll take blood parasites and I'll take organic brain dementia
and --
MARLA I want that.
JACK You can't have the whole brain!
MARLA So far, you have four and I have two!
JACK Well, then, take blood  parasites. Now, we each have three.
MARLA So, we each have three -- that's six. What  about the seventh day? I
want ascending bowel cancer.
JACK *I* want ascending bowel cancer.
MARLA That's your favorite, too? Tried to slip it by me, huh?
JACK We'll split it. You get it the first and third Sunday of the month.
MARLA Deal.""
",0
732,empty,1
1747,"
Â Â 
Dear 
                        Homeowner,
Â 
*6.25% 30 Yr Fixed Rate 
                        Mortgage
Interest 
                        rates are at their lowest point in 40 years! We help you 
                        find the best rate for your situation by matching your 
                        needs with hundreds of lenders! Home Improvement, 
                        Refinance, Second Mortgage, Home Equity 
                        Loans, and More! Even with less than perfect credit! 
                        Click Here for a Free 
                        Quote! 
Lock In YOUR LOW FIXED RATE TODAYaNO COST 
                          OUT OF POCKET
aNO 
                          OBLIGATION
aFREE 
                          CONSULTATION
aALL 
                          CREDIT GRADES ACCEPTED 
Rates as 
                        low as 6.25% won't stay this low forever CLICK 
                        HERE
Â 
* based on 
                        mortgage rate as of 5-15-02 as low as 6.25% see lender 
                        for detailsÂ HApply now and one of our lending partners 
                              will get back to you within 48 
                              hours.CLICK 
                            HERE!
remove http://www.cs220.com/mortgage/remove.html
562818141198765544433",1
1136,empty,1
2705,"Owen Byrne wrote:> What a load of crap. Politics are somehow more muddy now?  I'd say that
> its considerably
> clearer - the vast majority of people feel disenfranchised, and the
> common practice of
> putting protestors in boxes is done usually to hide them from TV
> cameras, visiting dignitaries,
> etc, further exacerbating those feelings.
> ""Unpeaceably disrupting political rallies"" is now usually done by police
> with riot gear and pepper spray.
> 
> We had a good one here a month or so ago - a few people peaceably
> strayed from the permit area,
> which was nearly a mile from the site of the meeting of finance
> ministers held here (the motorcade drove
> by it for about 10 seconds), and were immediately gassed,  beaten and
> arrested. Not very muddied at all.
What does that exactly have to do with the statement that
distruption of peacable political assembly has become
a common practice disruption tool?  It's an observation
not a judgement, comment, approval.  You've focused on the
word ""muddy"" to use it in a different context than the one
I posted.Maybe the distinction I was trying to make was too subtle and
I was trying to be too clever with my writing this morning.
Let me summarize the important parts of my post for you: I
have a premise that there is a difference between free and protected
speech and action.  I think O'Neill on his soapbox doesn't
understand the distinction.All better?  Greg
",0
96,"=================================Guaranteed to increase, lift and firm your
breasts in 60 days or your money back!!100% herbal and natural.  Proven formula since 
1996.  Increase  your bust by 1 to 3 sizes within 30-60 
days and be all natural.  Click here:
http://202.101.163.34:81/li/wangxd/Absolutely no side effects!
Be more self confident!
Be more comfortable in bed!
No more need for a lift or support bra!100% GUARANTEED AND FROM A NAME YOU KNOW AND 
TRUST!
**************************************************You are receiving this email as a double opt-in 
subscriber to the Standard Affiliates Mailing 
List. 
To remove yourself from all related email lists,
just click here:
http://64.123.160.91:81/li/gg/unsubscriber.asp?userid=zzzz@netcomuk.co.uk",1
1827,"
Beautiful,Custom Websites for $359 Complete!
Beautiful, 100% Custom 
      Websites, $359 Complete!
Get a beautiful, 100% Custom Web Site (or 
                        yours redesigned)Â for only 
                        $359!*We have references coast to 
                        coastÂ and will give you plenty of sites to 
                        view!
Includes up to 
                  7 pages (you can add more), java rollover buttons, feedback 
                  forms, more. It will be constructed to your taste and 
                  specifications. We do not use templates,Â  our sites 
                  are completely custom.Â Â Â  *Must host with us @ 
                  $19.95/mo (100 Megs, 20 Email accounts, Control Panel, Front 
                  Page, Graphical Statistics, 
                  more).Â 
For sites to 
                  view, complete below or call our message center at 
                  321-726-2209 (24 hours). Your call will be returned 
                  promptly.NOTE:Â Â  If you are using a web 
                  based email program (such as Yahoo, Hotmail, etc.) the form 
                  below will not work.Â  Instead of using the 
                  form,Â  CLICK 
                  HERE .Â Â Â  Name: Phone 
                  w/AC*:State: Type Project: New Site:Redesign Flash Intro/bannerÂ Â  Current 
                  site?:Comments:Â Â If you do not wish to 
            receive our messages, CLICK 
            HERE Â  (Please enter 
            ALL email addresses (in the body of the message) you wish to have 
            eliminated from future 
        mailings.[8734IcUm5-941FzRj1099DvNh4-450ZrLD0601Vnia4-052sMEW9113qIaU3-562mEwQ9923iBvN2-17@75]
",1
3475,"It's a permissions issue on the razor log file.  SpamAssassin runs setuid 
to the user to whom mail is being delivered.You'll need to make the razor log file world writable.On Mon, 9 Sep 2002, Rob wrote:> I just set up razor and spamassassin, but I keep getting this error in my 
> mail log file
> 
> razor2 check skipped: No such file or directory Can't call method ""log"" on 
> unblessed reference at 
> /usr/local/lib/perl5/site_perl/5.8.0/Razor2/Client/Agent.pm line 212.
> 
> I have looked through the archived list and the only thing I have seen 
> about this error is a possible permission problem on the log file.
> I did what it said in the archives, basically change the permission on the 
> file but its still no go.
> 
> Any other help would be appreciated, maybe I'm missing something.
> something I forgot to run or do.
> 
> 
> rob
> 
> 
> 
> 
> -------------------------------------------------------
> This sf.net email is sponsored by: OSDN - Tired of that same old
> cell phone?  Get a new here for FREE!
> https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
> _______________________________________________
> Razor-users mailing list
> Razor-users@lists.sourceforge.net
> https://lists.sourceforge.net/lists/listinfo/razor-users
> -------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone?  Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
_______________________________________________
Razor-users mailing list
Razor-users@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/razor-users
",0
